sat_name,physical_channel,proxy_nickname,proxy_receive_time,server_receive_time,raw_data
DSLWP-B,13,PY4ZBZ,2018-08-12 21:10:00.000,2018-08-15 00:56:31.366,BJ1SNI8670OD9
DSLWP-B,13,PY4ZBZ,2018-08-12 21:20:00.000,2018-08-15 00:57:01.316,BJ1SNI86C0ODJ
DSLWP-B,13,YL3CT,2018-08-14 17:10:00.000,2018-08-14 20:47:12.337,BJ1SNJ86D0OA9
DSLWP-B,13,YL3CT,2018-08-14 17:20:00.000,2018-08-14 20:47:42.176,BJ1SNI86B1ODJ
DSLWP-B,13,YL3CT,2018-08-14 18:40:00.000,2018-08-14 20:51:49.204,BJ1SNJ86C0PA9
DSLWP-B,13,YL3CT,2018-08-14 18:50:00.000,2018-08-14 20:52:17.517,BJ1SNJ8670PAJ
DSLWP-B,13,YL3CT,2018-08-14 18:20:00.000,2018-08-14 20:48:55.875,BJ1SNJ8670PAJ
DSLWP-B,13,YL3CT,2018-08-14 18:30:00.000,2018-08-14 20:51:24.985,BJ1SNJ8650PAT
DSLWP-B,13,YL3CT,2018-08-14 17:30:00.000,2018-08-14 20:48:12.526,BJ1SNI86D3QDT
DSLWP-B,13,PY4ZBZ,2018-08-12 21:51:00.000,2018-08-15 00:57:59.619,BJ1SNI86B0ODJ
DSLWP-B,13,PY4ZBZ,2018-08-12 22:01:00.000,2018-08-15 00:58:16.636,BJ1SNI8680PD0
DSLWP-B,13,PY4ZBZ,2018-08-12 22:11:00.000,2018-08-15 00:58:34.003,BJ1SNI86H0PD9
DSLWP-B,13,PY4ZBZ,2018-08-12 22:21:00.000,2018-08-15 00:58:50.500,BJ1SNI86A0PDK
DSLWP-B,13,PY4ZBZ,2018-08-12 22:31:00.000,2018-08-15 00:59:06.676,BJ1SNI86A0PD0
DSLWP-B,13,PY4ZBZ,2018-08-12 21:30:00.000,2018-08-15 00:57:22.548,BJ1SNI8690ODT
DSLWP-B,13,PY4ZBZ,2018-08-12 21:40:00.000,2018-08-15 00:57:39.211,BJ1SNI8650OD9
DSLWP-B,13,YL3CT,2018-08-16 18:10:00.000,2018-08-16 19:23:45.037,BJ1SNJ86A0PA9
DSLWP-B,13,YL3CT,2018-08-16 18:20:00.000,2018-08-16 19:24:24.315,BJ1SNJ86B0PAJ
DSLWP-B,13,VK5EI,2018-08-18 17:21:00.000,2018-08-18 17:22:45.324,BJ1SNI86B0ODJ
DSLWP-B,13,VK5EI,2018-08-18 17:31:00.000,2018-08-18 17:34:45.508,BJ1SNI86E0ODT
DSLWP-B,13,VK5EI,2018-08-18 17:41:00.000,2018-08-18 17:42:43.372,BJ1SNI86E0OD9
DSLWP-B,13,YL3CT,2018-08-16 18:50:00.000,2018-08-16 19:26:21.378,BJ1SNJ86C0PAJ
DSLWP-B,13,VK5EI,2018-08-18 17:00:00.000,2018-08-18 17:05:47.947,BJ1SNI86A0ODT
DSLWP-B,13,YL3CT,2018-08-16 18:30:00.000,2018-08-16 19:25:00.728,BJ1SNJ8690PAT
DSLWP-B,13,YL3CT,2018-08-16 18:40:00.000,2018-08-16 19:25:39.083,BJ1SNJ86A0PA9
DSLWP-B,13,VK5EI,2018-08-18 16:50:00.000,2018-08-18 16:52:54.653,BJ1SNI86C0ODJ
DSLWP-B,13,VK5EI,2018-08-18 17:10:00.000,2018-08-18 17:12:35.389,BJ1SNI86C0ODA
DSLWP-B,13,VK5EI,2018-08-18 17:51:00.000,2018-08-18 17:52:46.017,BJ1SNI8670ODK
DSLWP-B,13,VK5EI,2018-08-18 18:11:00.000,2018-08-18 18:13:08.688,BJ1SNI86A0PDA
DSLWP-B,13,VK5EI,2018-08-18 18:21:00.000,2018-08-18 18:22:51.066,BJ1SNI8660PDK
DSLWP-B,13,3B8DU,2018-08-18 17:30:00.000,2018-08-18 18:46:38.737,BJ1SNJ8670OAT
DSLWP-B,13,3B8DU,2018-08-18 17:40:00.000,2018-08-18 18:47:28.254,BJ1SNJ86D0OA9
DSLWP-B,13,3B8DU,2018-08-18 17:40:00.000,2018-08-18 18:48:00.599,BJ1SNJ86D0OAJ
DSLWP-B,13,3B8DU,2018-08-18 17:40:00.000,2018-08-18 18:48:25.125,BJ1SNJ8690PA9
DSLWP-B,13,3B8DU,2018-08-18 18:20:00.000,2018-08-18 18:49:52.632,BJ1SNJ86A0PAJ
DSLWP-B,13,3B8DU,2018-08-18 18:10:00.000,2018-08-18 18:49:03.766,BJ1SNJ8690PA9
DSLWP-B,13,YL3CT,2018-08-19 00:40:00.000,2018-08-19 03:53:23.487,BJ1SNJ8690OA9
